List File,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024.lst
Start Time,2024-04-08  10:14:01
Sampling Time,31 sec

Count,1000
Particles / ml,57555

Sample Volume Processed ml,0.07846
Sample Volume Imaged ml,0.01737

Efficiency,22.1%
PPI,1.88

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),7.93,1.00,560.75,21.59,272.24
Area (Filled),8.60,1.00,617.65,23.75,276.01
Aspect Ratio,0.37,0.03,0.99,0.27,74.58
Average Blue,181.13,113.33,228.84,17.38,9.60
Average Green,129.64,83.08,163.97,13.18,10.16
Average Red,133.11,74.66,160.00,17.14,12.88
Capture X,558.81,0.00,1260.00,330.45,59.13
Capture Y,479.04,0.00,945.00,268.91,56.14
Ch1 Area,0.00,0.00,0.00,0.00,0.00
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Ch1 Width,0.00,0.00,0.00,0.00,0.00
Ch2 Area,0.00,0.00,0.00,0.00,0.00
Ch2 Peak,0.00,0.00,0.00,0.00,0.00
Ch2 Width,0.00,0.00,0.00,0.00,0.00
Ch2/Ch1 Ratio,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.67,0.00,0.94,0.17,25.72
Circularity,0.56,0.04,1.00,0.22,39.53
Circularity (Hu),0.34,0.01,1.00,0.35,102.62
Compactness,2.15,1.00,22.49,1.24,57.81
Convex Perimeter,21.89,12.90,148.04,9.54,43.60
Convexity,0.62,0.05,1.00,0.28,44.63
D[3 2](ABD),6.71,1.13,26.72,6.32,94.19
D[3 2](ESD),11.85,3.00,46.02,11.27,95.11
D[4 3](ABD),12.66,1.13,26.72,9.49,74.94
D[4 3](ESD),22.58,3.00,46.02,16.47,72.95
Diameter (ABD),2.60,1.13,26.72,1.83,70.19
Diameter (ESD),5.82,3.00,46.02,3.04,52.21
Diameter (FD),2.67,1.13,28.04,1.95,73.10
Edge Gradient,63.85,14.25,181.09,34.04,53.31
Elapsed Time,18.13,1.97,33.27,8.95,49.35
Elongation,4.50,1.00,68.64,3.99,88.67
Fiber Curl,0.13,0.00,2.73,0.32,237.91
Fiber Straightness,1.28,0.27,4.66,0.59,46.15
Geodesic Aspect Ratio,0.38,0.01,1.00,0.31,80.96
Geodesic Length,7.79,3.42,143.30,7.95,102.10
Geodesic Thickness,2.45,0.67,9.19,1.89,77.16
Image Height,25.88,14.00,105.00,7.26,28.03
Image Width,24.69,12.00,117.00,7.14,28.93
Intensity,145.43,98.12,176.73,12.62,8.68
Length,8.53,3.60,57.93,4.17,48.84
Particles Per Chain,1.69,1.00,14.00,0.67,39.95
Perimeter,20.49,10.44,296.83,16.42,80.17
Ratio Blue/Green,1.41,1.06,2.11,0.16,11.24
Ratio Red/Blue,0.74,0.40,1.01,0.10,13.78
Ratio Red/Green,1.02,0.75,1.18,0.06,6.03
Roughness,0.94,0.27,2.65,0.32,33.58
Scatter Area,0.00,0.00,0.00,0.00,0.00
Scatter Peak,0.00,0.00,0.00,0.00,0.00
Scatter Width,0.00,0.00,0.00,0.00,0.00
Sigma Intensity,9.67,2.55,36.38,5.56,57.48
Sphere Complement,0.00,0.00,0.00,0.00,0.00
Sphere Count,0.00,0.00,0.00,0.00,0.00
Sphere Unknown,0.00,0.00,0.00,0.00,0.00
Sphere Volume,0.00,0.00,0.00,0.00,0.00
Sum Intensity,8903.11,2026.00,3.210e+05,13274.55,149.10
Symmetry,0.62,0.00,1.00,0.21,34.00
Transparency,0.53,0.04,0.91,0.23,43.78
Volume (ABD),35.47,0.75,9988.92,331.07,933.43
Volume (ESD),267.55,14.18,51015.55,2092.89,782.24
Width,2.58,0.55,34.65,2.22,86.07

Particle Segmentation,Dark Threshold 20.00
Distance to Nearest Neighbor,5.00 microns
Close Holes,1 iterations
Basic Size Filter,Diameter (ESD) Min 3.00  Max 50.00  microns
Advanced Filter,None
AutoImage Frame Rate,17 frames per second
Flash Duration,70.00 microseconds
Camera Gain,30

