List File,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024.lst
Start Time,2024-04-08  10:32:45
Sampling Time,34 sec

Count,1000
Particles / ml,51739

Sample Volume Processed ml,0.08717
Sample Volume Imaged ml,0.01933

Efficiency,22.2%
PPI,1.69

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),11.60,0.92,639.40,39.49,340.44
Area (Filled),13.09,0.92,702.27,43.22,330.22
Aspect Ratio,0.40,0.04,1.00,0.29,73.16
Average Blue,179.53,119.37,215.68,16.00,8.91
Average Green,128.29,81.96,154.46,13.64,10.63
Average Red,131.78,75.75,160.15,17.98,13.65
Capture X,568.12,0.00,1262.00,353.09,62.15
Capture Y,454.67,0.00,946.00,268.26,59.00
Ch1 Area,0.00,0.00,0.00,0.00,0.00
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Ch1 Width,0.00,0.00,0.00,0.00,0.00
Ch2 Area,0.00,0.00,0.00,0.00,0.00
Ch2 Peak,0.00,0.00,0.00,0.00,0.00
Ch2 Width,0.00,0.00,0.00,0.00,0.00
Ch2/Ch1 Ratio,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.67,0.00,0.94,0.18,26.61
Circularity,0.55,0.04,1.00,0.23,42.29
Circularity (Hu),0.37,0.01,1.00,0.36,97.65
Compactness,2.30,1.00,23.86,1.73,75.36
Convex Perimeter,22.73,12.85,150.21,12.50,55.00
Convexity,0.64,0.10,1.00,0.28,44.23
D[3 2](ABD),10.44,1.08,28.53,8.77,84.02
D[3 2](ESD),16.00,3.00,46.69,13.53,84.53
D[4 3](ABD),17.81,1.08,28.53,9.25,51.96
D[4 3](ESD),27.44,3.00,46.69,14.43,52.58
Diameter (ABD),2.89,1.08,28.53,2.53,87.54
Diameter (ESD),6.09,3.00,46.69,3.98,65.37
Diameter (FD),3.03,1.08,29.90,2.74,90.39
Edge Gradient,68.07,10.05,208.77,37.09,54.49
Elapsed Time,18.97,2.03,36.73,9.85,51.93
Elongation,4.95,1.00,72.94,5.52,111.48
Fiber Curl,0.17,0.00,3.17,0.40,232.05
Fiber Straightness,1.22,0.24,4.42,0.57,46.28
Geodesic Aspect Ratio,0.40,0.01,1.00,0.33,82.52
Geodesic Length,9.09,3.21,225.39,13.57,149.30
Geodesic Thickness,2.64,0.73,10.41,2.15,81.41
Image Height,25.41,13.00,109.00,8.69,34.19
Image Width,26.00,13.00,111.00,8.33,32.05
Intensity,144.00,93.55,163.50,12.40,8.61
Length,8.70,3.60,55.72,5.11,58.70
Particles Per Chain,1.67,1.00,8.00,0.72,43.02
Perimeter,23.46,10.44,456.96,27.65,117.85
Ratio Blue/Green,1.41,1.06,2.11,0.17,12.04
Ratio Red/Blue,0.74,0.41,0.98,0.11,14.75
Ratio Red/Green,1.02,0.75,1.16,0.06,6.30
Roughness,0.99,0.28,3.04,0.35,35.52
Scatter Area,0.00,0.00,0.00,0.00,0.00
Scatter Peak,0.00,0.00,0.00,0.00,0.00
Scatter Width,0.00,0.00,0.00,0.00,0.00
Sigma Intensity,9.75,1.67,36.13,5.53,56.76
Sphere Complement,0.00,0.00,0.00,0.00,0.00
Sphere Count,0.00,0.00,0.00,0.00,0.00
Sphere Unknown,0.00,0.00,0.00,0.00,0.00
Sphere Volume,0.00,0.00,0.00,0.00,0.00
Sum Intensity,10996.50,1912.00,3.489e+05,22036.19,200.39
Symmetry,0.61,0.00,1.00,0.21,35.15
Transparency,0.52,0.03,0.89,0.23,44.58
Volume (ABD),80.73,0.67,12162.54,643.84,797.48
Volume (ESD),443.15,14.18,53302.60,2889.76,652.09
Width,3.00,0.83,34.65,3.03,101.14

Particle Segmentation,Dark Threshold 20.00
Distance to Nearest Neighbor,5.00 microns
Close Holes,1 iterations
Basic Size Filter,Diameter (ESD) Min 3.00  Max 50.00  microns
Advanced Filter,None
AutoImage Frame Rate,17 frames per second
Flash Duration,70.00 microseconds
Camera Gain,30

